"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000186675","MAGEE2",-3.42573443022361,0.770511422379334,"MAGEE2",-2.67882488775317,0.628286438777182,"MAGEE2",0.52814480241379,FALSE
"ENSG00000274750","H3C6",-0.928797200936401,0.770511422379334,"H3C6",-0.632994416921774,0.985446778699171,"H3C6",0.209164154470602,FALSE
"ENSG00000283239","KBTBD11-OT1",6.18819644176573,0.770511422379334,"KBTBD11-OT1",7.03715774913185,0.126346692780897,"KBTBD11-OT1",0.60030629740358,FALSE
"ENSG00000172987","HPSE2",2.16524697492731,0.770744112223118,"HPSE2",2.76257890261713,0.360497369998606,"HPSE2",0.422377456688702,FALSE
"ENSG00000204253","HNRNPCP2",1.52619200039982,0.770744112223118,"HNRNPCP2",1.05987862307028,0.784727648888199,"HNRNPCP2",0.329733351267719,FALSE
"ENSG00000105372","RPS19",0.668460072797423,0.770774408436241,"RPS19",0.97913459451067,0.121535034023228,"RPS19",0.219680061045324,FALSE
"ENSG00000148200","NR6A1",-0.905979773203412,0.770774408436241,"NR6A1",-0.285832977780695,0.973407572831721,"NR6A1",0.43851000437451,FALSE
"ENSG00000171811","CFAP46",0.9457717967808,0.770774408436241,"CFAP46",0.423109963060196,0.927668080864086,"CFAP46",0.369577726891235,FALSE
"ENSG00000071242","RPS6KA2",-0.827008015050677,0.772006269773868,"RPS6KA2",-0.74023833446476,0.546066139557686,"RPS6KA2",0.0613554295436928,FALSE
"ENSG00000134668","SPOCD1",2.77526917669039,0.772659692422287,"SPOCD1",2.63420135412066,0.730337551066767,"SPOCD1",0.0997500139462782,FALSE
"ENSG00000286001","ENSG00000286001",1.69399802262539,0.772659692422287,"ENSG00000286001",0.76212744334168,0.957473593121242,"ENSG00000286001",0.658932005799749,FALSE
"ENSG00000140545","MFGE8",1.13886368021195,0.773327989397722,"MFGE8",0.87991273475669,0.763671742837042,"MFGE8",0.183105969526083,FALSE
"ENSG00000284879","NCAL1",1.04331509967966,0.773327989397722,"NCAL1",0.680887090385887,0.89734564542368,"NCAL1",0.256275303063567,FALSE
"ENSG00000099385","BCL7C",0.771804293133902,0.773404553449303,"BCL7C",0.695781466711147,0.726832198784228,"BCL7C",0.0537562560884979,FALSE
"ENSG00000126010","GRPR",-2.20754934279399,0.773413111689435,"GRPR",-0.879028728497737,0.957283489278383,"GRPR",0.939405935315001,FALSE
